subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_type	object_category	object_label	comment	author_id	mapping_provider	mapping_date
dcterms:identifier	Identifier	rdf property	ods:Identifier	http://www.w3.org/2004/02/skos/core#narrowMatch	dwc:collectorNumber	rdf property	dwc:Material	Collector Number	"Checks for identifier type ""dwc:recordNumber"" or ""abcd:recordURI"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:verbatimLabel	Verbatim Label	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimLabel	rdf property	dwc:Material	Verbatim Label		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:informationWithheld	Information Withheld	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:informationWithheld	rdf property	dwc:Material	Information Withheld		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:dataGeneralizations	Data Generalizations	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:dataGeneralizations	rdf property	dwc:Material	Data Generalizations		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dcterms:identifier	Identifier	rdf property	ods:DigitalSpecimen	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:feedbackURL	rdf property	dwc:Material	Feedback URL	Set to the DOI so it will resolve to DiSSCover where the community can leave feedback with the specimen	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:identificationID	Identification ID	rdf property	ods:Identification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:identificationID	rdf property	dwc:Identification	Identification ID		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:verbatimIdentification	Verbatim Identification	rdf property	ods:Identification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:verbatimIdentification	rdf property	dwc:Identification	Verbatim Identification		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:isAcceptedIdentification	Is Accepted Identification	rdf property	ods:Identification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:isAcceptedIdentification	rdf property	dwc:Identification	Is Accepted Identification		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:typeStatus	Type Status	rdf property	ods:Identification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:typeStatus	rdf property	dwc:Identification	Type Status		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:dateIdentified	Date Identified	rdf property	ods:Identification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:dateIdentified	rdf property	dwc:Identification	Date Identified		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:identificationRemarks	Identification Remarks	rdf property	ods:Identification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:identificationRemarks	rdf property	dwc:Identification	Identification Remarks		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:taxonID	Taxon ID	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:taxonID	rdf property	dwc:IdentificationTaxon	Taxon ID		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:scientificName	Scientific Name	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:scientificName	rdf property	dwc:IdentificationTaxon	Scientific Name		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:scientificNameAuthorship	Scientific Name Authorship	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:scientificNameAuthorship	rdf property	dwc:IdentificationTaxon	Scientific Name Authorship		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:vernacularName	Vernacular Name	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:vernacularName	rdf property	dwc:IdentificationTaxon	Vernacular Name		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:taxonRank	Taxon Rank	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:taxonRank	rdf property	dwc:IdentificationTaxon	Taxon Rank		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:kingdom	Kingdom	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:kingdom	rdf property	dwc:IdentificationTaxon	Kingdom		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:phylum	Phylum	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:phylum	rdf property	dwc:IdentificationTaxon	Phylum		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
dwc:class	Class	rdf property	ods:TaxonIdentification	http://www.w3.org/2004/02/skos/core#exactMatch	dwc:clazz	rdf property	dwc:IdentificationTaxon	Class		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-06
