subject_id	subject_label	subject_type	subject_category	predicate_id	object_id	object_label	object_type	object_category	Comment	author_id	mapping_provider	mapping_date
dwc:latestEraOrHighestErathem	Latest Era Or Highest Erathem	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is ""Erathem"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:earliestPeriodOrLowestSystem	Earliest Period Or Lowest System	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is ""System"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:latestPeriodOrHighestSystem	Latest Period Or Highest System	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is ""System"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:earliestEpochOrLowestSeries	Earliest Epoch Or Lowest Series	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is any of ""SubSeries"", ""SubSerie"", ""Series"", ""Serie"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:latestEpochOrHighestSeries	Latest Epoch Or Highest Series	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is any of ""SubSeries"", ""SubSerie"", ""Series"", ""Serie"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:earliestAgeOrLowestStage	Earliest Age Or Lowest Stage	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is any of ""SubStage"", ""Stage"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:latestAgeOrHighestStage	Latest Age Or Highest Stage	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#exactMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronostratigraphicName	Chronostratigraphic Name	rdf property	ChronostratigraphicAttribution	"First hit when abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/chronostratigraphicAttributions/chronostratigraphicAttribution/*/chronoStratigraphicDivision is any of ""SubStage"", ""Stage"""	https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/biostratigraphicAttributionsType/biostratigraphicAttribution/0/zonalFossilType	Zonal Fossil Type	rdf property	BiostratigraphicAttribution		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#narrowMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/biostratigraphicAttributionsType/biostratigraphicAttribution/0/fossilZoneName	Fossil Zone Name	rdf property	BiostratigraphicAttribution		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
dwc:lowestBiostratigraphicZone	Lowest Biostratigraphic Zone	rdf property	ods:GeologicalContext	http://www.w3.org/2004/02/skos/core#broadMatch	abcd-efg:earthScienceSpecimen/unitStratigraphicDetermination/biostratigraphicAttributionsType/biostratigraphicAttribution/0/fossilSubzoneName	Fossil Subzone Name	rdf property	BiostratigraphicAttribution		https://orcid.org/0000-0002-5669-2769	https://dissco.eu	2025-10-10
